Year,Rank,Release Group, Worldwide , Domestic ,Domestic %, Foreign ,Foreign %, Origin , Worldwide Adjusted , Domestic Adjusted , Foreign Adjusted 
2000,145,Here on Earth," $10,873,148 "," $10,522,168 ",96.80%," $350,980 ",3.20%,USA," $19,299,838 "," $18,676,848 "," $622,990 "
2000,146,Pollock," $10,558,970 "," $8,598,593 ",81.40%," $1,960,377 ",18.60%,USA," $18,742,172 "," $15,262,503 "," $3,479,669 "
2000,147,Anatomy," $10,501,958 "," $9,660 ",0.10%," $10,492,298 ",99.90%,International," $18,640,975 "," $17,147 "," $18,623,829 "
2000,148,The Virgin Suicides," $10,409,377 "," $4,906,229 ",47.10%," $5,503,148 ",52.90%,USA," $18,476,644 "," $8,708,556 "," $9,768,088 "
2000,149,Woman on Top," $10,194,274 "," $5,020,111 ",49.20%," $5,174,163 ",50.80%,USA," $18,094,836 "," $8,910,697 "," $9,184,139 "
2000,150,Godzilla 2000: Millennium," $10,037,390 "," $10,037,390 ",100%,,,USA," $17,816,367 "," $17,816,367 ", $-   
2000,151,Whatever It Takes," $9,902,115 "," $8,745,680 ",88.30%," $1,156,435 ",11.70%,USA," $17,576,254 "," $15,523,582 "," $2,052,672 "
2000,152,3 Strikes," $9,832,166 "," $9,832,166 ",100%,,,USA," $17,452,095 "," $17,452,095 ", $-   
2000,153,Bread and Tulips," $9,719,848 "," $5,318,679 ",54.70%," $4,401,169 ",45.30%,USA," $17,252,730 "," $9,440,655 "," $7,812,075 "
2000,154,Ghost Dog: The Way of the Samurai," $9,380,473 "," $3,308,029 ",35.30%," $6,072,444 ",64.70%,USA," $16,650,340 "," $5,871,751 "," $10,778,588 "
2000,155,State and Main," $9,206,279 "," $6,944,471 ",75.40%," $2,261,808 ",24.60%,USA," $16,341,145 "," $12,326,436 "," $4,014,709 "
2000,156,Before Night Falls," $8,527,517 "," $4,242,892 ",49.80%," $4,284,625 ",50.20%,USA," $15,136,343 "," $7,531,133 "," $7,605,209 "
2000,157,Butterfly," $7,733,894 "," $2,092,682 ",27.10%," $5,641,212 ",72.90%,USA," $13,727,662 "," $3,714,511 "," $10,013,151 "
2000,158,Ants in the Pants," $7,625,967 ",,," $7,625,967 ",100%,International," $13,536,091 ", $-   ," $13,536,091 "
2000,159,Requiem for a Dream," $7,390,108 "," $3,635,482 ",49.20%," $3,754,626 ",50.80%,USA," $13,117,442 "," $6,452,981 "," $6,664,461 "
2000,160,Where the Money Is," $7,243,669 "," $5,661,798 ",78.20%," $1,581,871 ",21.80%,USA," $12,857,512 "," $10,049,691 "," $2,807,821 "
2000,161,Screwed," $7,201,701 "," $7,027,345 ",97.60%," $174,356 ",2.40%,USA," $12,783,019 "," $12,473,537 "," $309,482 "
2000,162,Widow of St. Pierre," $7,193,889 "," $3,193,889 ",44.40%," $4,000,000 ",55.60%,USA," $12,769,153 "," $5,669,153 "," $7,100,000 "
2000,163,Croupier," $7,075,068 "," $6,201,143 ",87.60%," $873,925 ",12.40%,USA," $12,558,246 "," $11,007,029 "," $1,551,217 "
2000,164,Duets," $6,620,242 "," $4,739,023 ",71.60%," $1,881,219 ",28.40%,USA," $11,750,930 "," $8,411,766 "," $3,339,164 "
2000,165,Now or Never," $5,995,963 ",,," $5,995,963 ",100%,International," $10,642,834 ", $-   ," $10,642,834 "
2000,166,Black & White," $5,541,431 "," $5,277,299 ",95.20%," $264,132 ",4.80%,USA," $9,836,040 "," $9,367,206 "," $468,834 "
